StockCode,Description,Country,total_price
10002,INFLATABLE POLITICAL GLOBE ,France,40.8
10002,INFLATABLE POLITICAL GLOBE ,United Kingdom,10.2
10125,MINI FUNKY DESIGN TAPES,United Kingdom,1.7
10133,COLOURING PENCILS BROWN TUBE,United Kingdom,4.25
15056BL,EDWARDIAN PARASOL BLACK,United Kingdom,41.6
15056N,EDWARDIAN PARASOL NATURAL,United Kingdom,11.9
16014,SMALL CHINESE STYLE SCISSOR,United Kingdom,4.2
16016,LARGE CHINESE STYLE SCISSOR,United Kingdom,8.5
16237,SLEEPING CAT ERASERS,United Kingdom,6.3
16238,PARTY TIME PENCIL ERASERS,United Kingdom,5.88
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,United Kingdom,0.42
17021,NAMASTE SWAGAT INCENSE,United Kingdom,144.0
17091A,LAVENDER INCENSE IN TIN,United Kingdom,1.25
20668,DISCO BALL CHRISTMAS DECORATION,United Kingdom,31.68
20669,RED HEART LUGGAGE TAG,United Kingdom,1.25
20679,EDWARDIAN PARASOL RED,United Kingdom,118.80000000000001
20685,DOORMAT RED RETROSPOT,United Kingdom,15.9
20707,CRAZY DAISY HEART DECORATION,United Kingdom,1.25
20713,JUMBO BAG OWLS,United Kingdom,1.95
20717,STRAWBERRY SHOPPER BAG,United Kingdom,1.25
20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,9.35
20725,LUNCH BAG RED RETROSPOT,United Kingdom,19.799999999999997
20726,LUNCH BAG WOODLAND,United Kingdom,1.65
20727,LUNCH BAG  BLACK SKULL ,United Kingdom,21.45
20728,LUNCH BAG CARS BLUE,United Kingdom,21.45
20749,ASSORTED COLOUR MINI CASES,United Kingdom,7.95
20750,RED RETROSPOT MINI CASES,United Kingdom,7.95
20773,BLUE PAISLEY NOTEBOOK,United Kingdom,3.3
20774,GREEN FERN NOTEBOOK,United Kingdom,3.3
20777,CHRYSANTHEMUM NOTEBOOK,United Kingdom,3.3
20820,SILVER LOOKING MIRROR,United Kingdom,14.850000000000001
20866,BLUE ROSE FABRIC MIRROR,United Kingdom,1.25
20878,SET 9 CHRISTMAS T LIGHTS SCENTED ,United Kingdom,3.75
20914,SET 5 RED RETROSPOT LID GLASS BOWLS,United Kingdom,326.4
20961,STRAWBERRY BATH SPONGE ,United Kingdom,1.25
20963,APPLE BATH SPONGE,United Kingdom,1.25
20966,SANDWICH BATH SPONGE,United Kingdom,6.25
20977,36 PENCILS TUBE WOODLAND,United Kingdom,20.0
20979,36 PENCILS TUBE RED RETROSPOT,United Kingdom,20.0
20982,12 PENCILS TALL TUBE SKULLS,United Kingdom,10.2
20992,JAZZ HEARTS PURSE NOTEBOOK,United Kingdom,7.6499999999999995
21033,JUMBO BAG CHARLIE AND LOLA TOYS,United Kingdom,41.3
21034,REX CASH CARRY JUMBO SHOPPER,United Kingdom,1.9
21035,SET 2 RED RETROSPOT TEA TOWELS ,France,53.1
21035,SET 2 RED RETROSPOT TEA TOWELS ,United Kingdom,8.850000000000001
21061,PARTY INVITES FOOTBALL,United Kingdom,10.2
21062,PARTY INVITES SPACEMAN,United Kingdom,10.2
21063,PARTY INVITES JAZZ HEARTS,United Kingdom,10.2
21065,BOOM BOX SPEAKER GIRLS,United Kingdom,5.95
21068,VINTAGE BILLBOARD LOVE HATE MUG,United Kingdom,25.44
21071,VINTAGE BILLBOARD DRINK ME MUG,United Kingdom,25.44
21080,SET 20 RED RETROSPOT PAPER NAPKINS ,United Kingdom,61.44
21086,SET 6 RED SPOTTY PAPER CUPS,United Kingdom,31.200000000000003
21094,SET 6 RED SPOTTY PAPER PLATES,United Kingdom,71.64
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,United Kingdom,22.95
21115,ROSE CARAVAN DOORSTOP,United Kingdom,27.0
21116,OWL DOORSTOP,United Kingdom,4.95
21121,SET 10 RED POLKADOT PARTY CANDLES,United Kingdom,31.25
21122,SET 10 PINK POLKADOT PARTY CANDLES,United Kingdom,2.5
21124,SET 10 BLUE POLKADOT PARTY CANDLES,United Kingdom,1.25
21125,SET 6 FOOTBALL CELEBRATION CANDLES,United Kingdom,15.0
21126,SET OF 6 GIRLS CELEBRATION CANDLES,United Kingdom,15.0
21137,BLACK RECORD COVER FRAME,United Kingdom,1627.2
21154,RED RETROSPOT OVEN GLOVE ,United Kingdom,212.0
21156,RETROSPOT CHILDRENS APRON,United Kingdom,7.8
21166,COOK WITH WINE METAL SIGN ,United Kingdom,1.95
21169,YOU RE CONFUSING ME METAL SIGN ,United Kingdom,8.45
21175,GIN   TONIC DIET METAL SIGN,United Kingdom,6.300000000000001
21190,PINK HEARTS PAPER GARLAND,United Kingdom,1.65
21210,SET OF 72 RETROSPOT PAPER  DOILIES,United Kingdom,17.4
21212,PACK OF 72 RETROSPOT CAKE CASES,United Kingdom,92.74999999999999
21213,PACK OF 72 SKULL CAKE CASES,United Kingdom,13.200000000000001
21232,STRAWBERRY CERAMIC TRINKET BOX,United Kingdom,15.0
21242,RED RETROSPOT PLATE ,United Kingdom,1.69
21243,PINK  POLKADOT PLATE ,United Kingdom,1.69
21244,BLUE POLKADOT PLATE ,United Kingdom,1.69
21245,GREEN POLKADOT PLATE ,United Kingdom,1.69
21257,VICTORIAN SEWING BOX MEDIUM,United Kingdom,15.9
21258,VICTORIAN SEWING BOX LARGE,United Kingdom,350.4
21259,VICTORIAN SEWING BOX SMALL ,United Kingdom,11.9
21260,FIRST AID TIN,United Kingdom,3.25
21292,SMALL STRIPES CHOCOLATE GIFT BAG ,United Kingdom,13.6
21314,SMALL GLASS HEART TRINKET POT,United Kingdom,105.60000000000001
21324,HANGING MEDINA LANTERN SMALL,United Kingdom,17.700000000000003
21326,AGED GLASS SILVER T LIGHT HOLDER,United Kingdom,87.0
21327,SKULLS WRITING SET ,United Kingdom,1.65
21328,BALLOONS  WRITING SET ,United Kingdom,3.3
21329,DINOSAURS  WRITING SET ,United Kingdom,1.65
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,United Kingdom,25.5
21358,TOAST ITS   HAPPY BIRTHDAY,United Kingdom,2.5
21363,HOME SMALL WOOD LETTERS,United Kingdom,14.850000000000001
21367,MIRRORED WALL ART GENTS,United Kingdom,2.55
21370,MIRRORED WALL ART FOXY,United Kingdom,12.7
21411,GINGHAM HEART  DOORSTOP RED,United Kingdom,25.5
21441,BLUE BIRDHOUSE DECORATION,United Kingdom,10.2
21448,12 DAISY PEGS IN WOOD BOX,United Kingdom,13.2
21463,MIRRORED DISCO BALL ,United Kingdom,5.95
21464,DISCO BALL ROTATOR BATTERY OPERATED,United Kingdom,4.25
21479,WHITE SKULL HOT WATER BOTTLE ,United Kingdom,63.75
21481,FAWN BLUE HOT WATER BOTTLE,United Kingdom,17.700000000000003
21484,CHICK GREY HOT WATER BOTTLE,United Kingdom,13.799999999999997
21485,RETROSPOT HEART HOT WATER BOTTLE,United Kingdom,230.7
21486,PINK HEART DOTS HOT WATER BOTTLE,United Kingdom,3.75
21488,RED WHITE SCARF  HOT WATER BOTTLE,United Kingdom,7.9
21494,ROTATING LEAVES T LIGHT HOLDER,United Kingdom,15.0
21506,FANCY FONT BIRTHDAY CARD  ,United Kingdom,10.08
21523,DOORMAT FANCY FONT HOME SWEET HOME,United Kingdom,83.4
21533,RETROSPOT LARGE MILK JUG,United Kingdom,55.95
21544,SKULLS  WATER TRANSFER TATTOOS ,United Kingdom,10.2
21556,CERAMIC STRAWBERRY MONEY BOX,United Kingdom,15.299999999999999
21557,SET OF 6 FUNKY BEAKERS,United Kingdom,5.9
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,United Kingdom,15.299999999999999
21577,SAVE THE PLANET COTTON TOTE BAG,United Kingdom,2.25
21584,RETROSPOT SMALL TUBE MATCHES,United Kingdom,21.449999999999996
21586,KINGS CHOICE GIANT TUBE MATCHES,United Kingdom,40.8
21587,COSY HOUR GIANT TUBE MATCHES,United Kingdom,45.89999999999999
21588,RETROSPOT GIANT TUBE MATCHES,United Kingdom,7.6499999999999995
21591,COSY HOUR CIGAR BOX MATCHES ,United Kingdom,7.5
21592,RETROSPOT CIGAR BOX MATCHES ,United Kingdom,2.5
21609,SET 12 LAVENDER  BOTANICAL T LIGHTS,United Kingdom,2.95
21621,VINTAGE UNION JACK BUNTING,United Kingdom,8.5
21622,VINTAGE UNION JACK CUSHION COVER,Australia,39.6
21622,VINTAGE UNION JACK CUSHION COVER,United Kingdom,49.5
21651,HANGING GLASS ETCHED TEALIGHT,United Kingdom,19.799999999999997
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,United Kingdom,7.5
21676,FLOWERS  STICKERS,United Kingdom,5.1
21678,PAISLEY PATTERN  STICKERS,United Kingdom,5.1
21705,BAG 500g SWIRLY MARBLES,United Kingdom,19.799999999999997
21706,FOLDING UMBRELLA RED WHITE POLKADOT,United Kingdom,9.9
21708,FOLDING UMBRELLA CREAM POLKADOT,United Kingdom,9.9
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,United Kingdom,4.95
21711,FOLDING UMBRELLA WHITE RED POLKADOT,United Kingdom,4.95
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,United Kingdom,20.4
21716,BOYS VINTAGE TIN SEASIDE BUCKET,United Kingdom,20.4
21718,RED METAL BEACH SPADE ,United Kingdom,15.0
21724,PANDA AND BUNNIES STICKER SHEET,France,10.2
21730,GLASS STAR FROSTED T LIGHT HOLDER,United Kingdom,127.5
21731,RED TOADSTOOL LED NIGHT LIGHT,France,39.599999999999994
21731,RED TOADSTOOL LED NIGHT LIGHT,United Kingdom,551.55
21733,RED HANGING HEART T LIGHT HOLDER,United Kingdom,180.89999999999998
21738,COSY SLIPPER SHOES SMALL  RED ,United Kingdom,26.55
21739,COSY SLIPPER SHOES SMALL GREEN,United Kingdom,5.9
21743,STAR PORTABLE TABLE LIGHT ,United Kingdom,5.9
21744,SNOWFLAKE PORTABLE TABLE LIGHT ,United Kingdom,5.9
21754,HOME BUILDING BLOCK WORD,United Kingdom,89.25
21755,LOVE BUILDING BLOCK WORD,United Kingdom,89.25
21756,BATH BUILDING BLOCK WORD,United Kingdom,17.85
